latitude,longitude
44.282881,-101.5954424
45.355161,-97.5814295
65.3757271,-151.5778496
46.1101438,-103.5059433
46.3578269,-101.6390494
44.5757343,-94.2301232
38.3600037,-82.6814063
32.9318277,-109.8783103
42.4706681,-103.7321705
36.5275092,-86.8693538
30.1585081,-94.8440607
34.2528327,-90.2901707
35.4081567,-76.1536867
46.4632185,-91.8924773
39.3577126,-101.0833859
44.8559596,-115.6180612
47.1419168,-108.2265753
44.3629687,-97.499313
35.4081567,-76.1536867
37.2412822,-83.2177723
37.1524984,-91.3913284
35.0322677,-77.3561946
46.3578269,-101.6390494
60.0174528,-140.416942
43.8948122,-99.8419253
42.4706681,-103.7321705
34.9407663,-102.6075637
34.9633577,-100.2721351
55.2450437,-161.9974772
58.1085067,-156.4134134
43.1751423,-99.2065908
32.0453738,-88.6879756
47.3294529,-96.4637757
41.4046794,-85.4172708
44.3856333,-91.761294
28.4417191,-96.5795739
36.8592233,-83.2214968
38.4804041,-101.8059697
42.0925474,-92.05763
46.2294408,-107.2857723
36.4421353,-76.7023552
36.3780539,-97.7884503
35.9828413,-104.9218975
41.9031834,-99.5098521
21.2187644,-156.9740097
36.3780539,-97.7884503
43.054831,-108.6089349
32.3042901,-92.5616997
34.8865689,-88.5811091
35.8585157,-103.8479245
40.5309469,-100.4066834
40.180165,-101.6811327
41.5719297,-101.6959166
41.931945,-99.9964074
36.6129638,-104.6401105
39.7770021,-98.2226184
38.6683939,-85.1240238
40.5372337,-101.0479627
42.8754803,-99.7183514
36.3042991,-93.0792364
38.7601027,-84.8621525
45.4089262,-105.555344
33.6142675,-100.2453455
31.642503,-88.678214
32.8923946,-90.8276129
31.1610908,-91.3246169
33.2274908,-82.6069126
38.9132702,-101.1574016
39.3449643,-97.1688527
32.7555393,-91.0035351
41.2168513,-98.5133417
34.0306661,-89.7038072
41.920317,-101.117324
32.7945631,-81.9715244
38.395812,-97.6474893
28.4417191,-96.5795739
35.456557,-93.0268181
63.8649972,-143.2186282
33.7408411,-105.4498055
44.0189419,-98.0917093
32.2028812,-86.2044615
46.2842552,-100.2378424
37.188184,-98.0665901
48.7684388,-98.4637903
40.890099,-109.5057855
34.0578993,-100.7931519
38.3358805,-112.1293755
46.3181841,-104.4057182
45.3992158,-120.6785124
36.3137038,-96.6966693
32.3474454,-84.7880206
31.8771104,-100.6352305
46.9382725,-99.731198
38.9132702,-101.1574016
46.1082035,-97.6300507
47.007044,-103.3640163
43.7247191,-98.5775872
48.8147537,-103.5093256
32.4119595,-89.5334861
41.4273317,-78.6539366
41.1989613,-89.2983474
46.3959554,-113.4273564
34.2899036,-99.7456973
48.6451246,-111.7334723
33.1065082,-88.5660044
41.1697896,-98.0310573
34.6205664,-88.5221836
33.183792,-101.3011341
45.4199252,-96.4022263
31.633331,-89.5488968
48.7055228,-104.5339129
39.5795106,-105.245462
40.7874003,-74.2462919
30.7140081,-82.8973758
40.2081271,-94.4053211
37.9952438,-101.7936887
35.1094371,-84.5411124
38.9313769,-83.8667723
36.7151802,-90.40313
44.290218,-112.3546128
35.8187949,-89.1324936
36.2801998,-100.2726827
38.395812,-97.6474893
47.8654866,-96.08718
41.9225747,-98.5208533
46.4458338,-103.462462
42.985799,-97.8841987
31.8449361,-103.5612293
34.2518484,-97.2879273
41.5397495,-103.7262626
40.5250399,-97.5967053
36.3780539,-97.7884503
44.722325,-100.1313985
37.5490672,-107.003236
45.4116802,-99.205362
41.6333638,-102.3029845
46.9358216,-122.8301524
34.833333,-83.9892568
36.8403384,-87.1836416
29.3470865,-100.4177003
40.191865,-99.9096631
46.9629657,-104.2745184
46.1086815,-99.4164868
39.8694707,-77.2177296
43.3785421,-95.6337878
45.3992158,-120.6785124
45.4833865,-102.4679947
37.8211654,-107.3382613
44.1919995,-105.5170141
46.9389237,-103.8446117
44.290218,-112.3546128
34.5251725,-101.205893
47.4714315,-98.8728755
42.2103804,-103.0817795
34.0919063,-100.2764416
37.4778588,-86.844871
40.9623985,-87.4021716
44.0634099,-98.6231702
36.7483904,-102.5176984
44.348767,-103.8049474
33.4127172,-84.4939407
37.2051967,-94.3372594
30.3244416,-82.3022838
40.9623985,-87.4021716
36.3042991,-93.0792364
41.6790143,-95.3089173
38.1522485,-83.7376405
39.5795106,-105.245462
39.8225286,-85.7731503
37.9369099,-93.3229883
33.3614863,-82.0749982
38.688391,-87.4203544
44.6801748,-84.6113432
39.783542,-100.4597084
38.4458209,-87.8391674
32.3041168,-100.9243924
38.9313769,-83.8667723
48.7682715,-99.8404634
46.3578269,-101.6390494
30.0058912,-104.2616192
37.7823316,-79.4443196
37.5178069,-83.3171582
37.1306124,-81.1258532
44.3856333,-91.761294
31.642503,-88.678214
30.8852677,-99.8588613
37.9355008,-83.5893651
32.2971255,-99.8904299
34.290676,-98.3734379
37.5659319,-101.7893829
37.2412822,-83.2177723
38.9313769,-83.8667723
37.0878462,-83.3886172
36.4893563,-81.1322987
33.1259415,-90.0911968
38.4993945,-84.8415902
37.3543684,-82.9525461
38.4993945,-84.8415902
46.1077559,-98.4965182
36.138697,-84.6392616
42.950455,-84.5916949
36.9924298,-85.6334564
30.8397837,-91.0434338
41.0337028,-95.619101
37.9952438,-101.7936887
42.2798211,-74.1420253
44.9965754,-88.2065162
37.4236223,-83.691637
44.0153614,-96.2570147
34.833333,-83.9892568
42.2798211,-74.1420253
38.1547313,-107.7884802
41.9158651,-96.7885168
28.9598019,-96.58908
36.138697,-84.6392616
34.4236874,-90.8555931
45.1461816,-86.051574
39.8694707,-77.2177296
37.5490672,-107.003236
42.1838954,-112.5204486
33.2964753,-85.4640679
38.1019955,-105.3735123
38.9313769,-83.8667723
40.1212366,-87.2348725
45.6856708,-101.1796647
40.2369926,-89.9135746
47.4462146,-97.1647538
34.833333,-83.9892568
39.3399592,-91.1716071
40.7352727,-85.2129742
42.6555782,-90.1302916
38.4513829,-85.1196472
39.8694707,-77.2177296
34.9407663,-102.6075637
41.2056046,-90.7417698
38.483459,-80.4490515
43.4644839,-77.6646584
37.7438929,-83.4951095
37.6924493,-83.9639825
31.3751911,-101.5143954
48.2388827,-99.966497
38.7121872,-88.0854523
33.2964753,-85.4640679
44.9998559,-96.176836
38.8258545,-85.029681
43.2929889,-91.850788
38.885924,-89.4365916
42.4592867,-98.7847662
45.593753,-117.1855796
35.0322677,-77.3561946
32.7438198,-99.3470045
31.3538163,-102.0415461
29.871812,-93.1649478
38.483459,-80.4490515
28.4417191,-96.5795739
44.3766745,-96.7977971
37.2412822,-83.2177723
41.1450798,-82.594641
40.7066554,-123.9261757
30.8962331,-100.5272161
41.2168513,-98.5133417
42.9424607,-86.6549462
37.2853329,-80.0552407
34.3095637,-86.3216681
31.642503,-88.678214
35.1559259,-86.0992032
32.7353495,-94.9411837
46.049848,-89.501254
37.3707253,-78.8109404
41.2847255,-110.5589468
32.2028812,-86.2044615
41.2233882,-96.6420968
33.1309962,-90.5234209
37.9952438,-101.7936887
48.2338417,-100.6332668
29.9858774,-100.3073732
35.0322677,-77.3561946
32.2971255,-99.8904299
37.2017002,-101.3172684
38.3678475,-83.6992045
41.1989613,-89.2983474
39.8225286,-85.7731503
36.7043803,-95.9061545
36.3042991,-93.0792364
35.1559259,-86.0992032
40.1130652,-106.1108366
44.9897638,-101.6608274
38.4554034,-96.1616407
36.7043803,-95.9061545
41.8580807,-72.3409779
42.6555782,-90.1302916
35.9779598,-99.014385
37.3610502,-84.3143684
36.7151802,-90.40313
41.4993217,-81.1735054
37.2134065,-106.1764473
39.3449643,-97.1688527
31.642503,-88.678214
40.5652832,-74.9119695
38.483459,-80.4490515
40.770073,-80.778455
39.3449643,-97.1688527
32.3041168,-100.9243924
43.4644839,-77.6646584
39.3399592,-91.1716071
40.6379916,-96.1310274
37.1185357,-82.8612507
27.0532308,-98.7475708
33.7408411,-105.4498055
39.6603695,-94.8081728
39.3449643,-97.1688527
43.3896107,-95.1960572
48.7127815,-101.6581522
31.1525157,-83.4294448
38.6683939,-85.1240238
41.3306216,-94.0151842
32.7501361,-88.6256306
40.561309,-84.2240177
38.0276138,-87.8686526
38.1168826,-83.096116
42.7822943,-76.827088
40.7716274,-84.1061032
48.7127815,-101.6581522
39.3681331,-81.1611724
37.5612311,-99.2865389
36.85718,-88.976614
40.8397816,-83.313681
44.6801748,-84.6113432
36.7043803,-95.9061545
34.833333,-83.9892568
32.7835881,-95.3821664
41.7322039,-102.9905936
32.0014894,-91.342576
38.3596474,-97.1027707
41.1989613,-89.2983474
43.3896107,-95.1960572
38.3180811,-85.9118469
41.9241163,-81.3926429
47.7234355,-98.9004745
40.3348838,-111.1615683
30.7206932,-92.4040858
45.0654764,-99.1535637
44.289693,-92.2333405
35.837047,-101.3627461
36.7580237,-84.1446485
47.5304586,-101.3530871
35.1927768,-91.2445353
38.4513829,-85.1196472
44.0215411,-97.608122
44.8017867,-73.300759
38.0254107,-85.3171741
37.3090972,-85.8821233
44.3734238,-93.7301433
38.1522485,-83.7376405
48.7864534,-102.5200874
38.9888773,-80.4954773
48.071743,-99.3511517
41.643467,-85.0024051
44.5010324,-87.1633039
42.041884,-89.3201764
31.4459085,-104.5269447
41.1989613,-89.2983474
46.3578269,-101.6390494
48.7760403,-96.7803493
41.6790143,-95.3089173
43.4644839,-77.6646584
37.2051967,-94.3372594
48.2388827,-99.966497
39.1844221,-83.601359
41.6790143,-95.3089173
41.1989613,-89.2983474
38.6200401,-85.3512075
37.5659319,-101.7893829
39.5795106,-105.245462
41.5768655,-97.5134673
35.9494357,-97.9345565
36.138697,-84.6392616
42.6045604,-97.2568696
37.2412822,-83.2177723
30.7075845,-98.6846901
38.3596474,-97.1027707
44.9913041,-88.6692512
37.698983,-83.069721
34.116413,-82.8419087
41.9241163,-81.3926429
38.5635616,-82.9338199
37.6293036,-79.1546672
39.5795106,-105.245462
40.8719439,-97.140383
38.6683939,-85.1240238
44.6801748,-84.6113432
40.0176819,-80.9677268
38.6803649,-84.1152351
33.4191691,-82.6880123
34.2518484,-97.2879273
41.5649587,-84.5843235
46.4641952,-98.5260571
35.4019206,-102.5976203
37.2138159,-87.1340919
41.3311823,-92.1677213
40.8673784,-99.8151537
40.4474903,-81.4711052
38.688391,-87.4203544
40.1237427,-95.7186026
33.7408411,-105.4498055
37.7117226,-108.5241156
43.5993661,-90.8219835
36.8217206,-79.3985019
45.5624313,-93.2963388
37.5444624,-85.6968413
34.9701875,-81.1831873
39.9535933,-105.0507868
36.7043803,-95.9061545
42.0925474,-92.05763
40.5090947,-99.8232058
48.7681003,-94.9046335
47.4510624,-97.71892
36.4584642,-87.8118894
38.9888773,-80.4954773
32.7606302,-89.5222495
34.964179,-101.3566363
45.43059,-120.319901
41.2056046,-90.7417698
41.1119026,-102.332609
38.2771799,-77.1626355
36.5096806,-82.3013363
42.2798211,-74.1420253
33.9210299,-84.8671693
41.3338235,-94.9333023
42.7375854,-96.2158638
41.7341174,-111.7453987
42.950455,-84.5916949
46.3578269,-101.6390494
30.7747929,-89.5869043
38.688391,-87.4203544
33.0744405,-84.1466893
40.5250399,-97.5967053
45.3468989,-87.991198
32.2971255,-99.8904299
43.6804155,-97.3580479
29.9858774,-100.3073732
37.5494041,-77.9128553
47.1180789,-101.3314198
44.5058342,-69.1389521
43.3607524,-87.4993036
38.7382234,-106.3166833
35.2118788,-90.3153317
39.8225286,-85.7731503
39.14832,-84.9734976
34.7636183,-88.9188185
46.4492764,-97.6475541
40.2967096,-81.9301092
31.5977873,-92.5617156
34.460929,-85.803992
28.9598019,-96.58908
36.1167307,-84.1954177
42.6555782,-90.1302916
45.4558895,-123.7592988
31.8669151,-90.4487578
40.2923175,-81.0915651
41.1150635,-96.1091254
39.9986336,-78.4947466
43.0644492,-118.9871695
46.8442254,-112.9310998
32.2898113,-85.1869798
38.0254107,-85.3171741
44.348767,-103.8049474
43.4718818,-89.3304721
42.3902079,-93.241669
39.8225286,-85.7731503
43.9168446,-69.844227
38.6732275,-75.3370237
32.2180714,-97.7692171
38.3180811,-85.9118469
39.71412,-112.790471
43.7802469,-88.9703796
39.7742496,-87.1969502
36.4532029,-81.8612467
47.8190352,-112.2817249
28.9598019,-96.58908
47.6296277,-105.757222
40.789787,-89.2105871
43.6806116,-97.7968454
28.5143906,-81.3232839
41.4046794,-85.4172708
34.0387542,-78.2277653
39.3284336,-75.1216277
38.1019955,-105.3735123
43.8788305,-107.669052
38.9888773,-80.4954773
37.6301619,-84.5458557
40.7353342,-94.2442514
32.4095857,-82.5708819
42.591294,-74.4381718
44.0312479,-73.1415807
37.777988,-86.4329188
33.7408411,-105.4498055
38.483459,-80.4490515
31.4508678,-105.3775489
33.4796231,-82.4787331
41.8541794,-96.3377462
40.1814993,-88.9018526
40.4476855,-92.1428235
36.7043803,-95.9061545
38.3733441,-86.8733845
39.3399592,-91.1716071
43.0183677,-88.3042404
42.1832253,-98.0580367
40.9623985,-87.4021716
31.2039333,-90.7955421
41.8249987,-71.9907017
37.3219623,-84.9282195
33.1706954,-99.205796
32.0437683,-82.0592081
44.8213196,-93.8000913
45.1750914,-93.9663965
36.675896,-88.9720844
34.1586401,-80.2512086
39.3399592,-91.1716071
35.8356759,-101.8905018
35.6413551,-80.5217214
40.2923175,-81.0915651
62.2790939,-149.6190939
38.6683939,-85.1240238
40.7728833,-86.0442575
33.9332767,-88.9475579
41.2924096,-88.4010545
41.4330028,-72.5227802
37.9674757,-86.2008628
33.1259415,-90.0911968
37.830584,-78.2834938
39.8225286,-85.7731503
34.3151767,-92.9441474
41.7668593,-77.2572881
39.3449643,-97.1688527
41.2924096,-88.4010545
38.6502149,-95.7082554
46.6565964,-87.5840278
46.5444245,-90.6796907
46.998427,-88.6519034
36.7269843,-98.863649
34.7376972,-88.236064
40.5655273,-74.6199378
41.7918833,-73.2354042
39.5795106,-105.245462
35.8980428,-94.6510258
38.6962842,-84.3519435
44.6806187,-97.178598
39.6368956,-88.6257259
30.2064437,-90.9125023
39.8694707,-77.2177296
44.3030501,-91.3588668
36.7043803,-95.9061545
40.1764918,-98.0468422
41.679178,-94.9043119
36.4532029,-81.8612467
40.7480892,-92.4103453
43.1061353,-73.8553872
41.6424623,-85.4278448
45.4833865,-102.4679947
36.7043803,-95.9061545
34.460929,-85.803992
40.530673,-77.4004377
45.0289589,-92.4472842
40.1569048,-90.6134641
34.1586401,-80.2512086
40.0007703,-102.4216491
40.7488665,-87.833601
44.7157358,-95.862756
38.688391,-87.4203544
41.1119026,-102.332609
40.1768964,-101.044217
39.4903424,-82.4834473
46.0245094,-123.7050366
43.8462133,-104.5700202
38.9888773,-80.4954773
38.688204,-96.6514482
44.0155943,-95.7615809
41.5768655,-97.5134673
38.338031,-84.0262231
43.0837455,-95.6256244
34.833333,-83.9892568
40.5252659,-82.7977288
40.1204248,-111.6685082
31.3988233,-100.4637879
45.0934165,-87.0486828
40.7835474,-96.6886584
31.642503,-88.678214
36.7311363,-84.4910515
37.731671,-87.087139
31.642503,-88.678214
31.3988233,-100.4637879
33.9545292,-90.1722434
46.0204839,-94.2666194
35.456557,-93.0268181
41.8503306,-103.7015494
36.3836192,-91.8196636
37.7188141,-77.9176263
40.2923175,-81.0915651
38.1019955,-105.3735123
46.2946377,-123.4244583
48.7944116,-100.8312572
39.0090246,-110.7210999
44.6486211,-86.4943263
39.3449643,-97.1688527
43.4644839,-77.6646584
37.7293448,-79.3581337
41.6835728,-94.5012723
45.0241337,-84.1301067
30.5221852,-100.5133594
45.1338633,-112.8928694
39.9166853,-75.3988178
39.3284336,-75.1216277
38.688391,-87.4203544
43.3781243,-93.7434883
38.688391,-87.4203544
42.9886636,-71.0990801
39.8225286,-85.7731503
39.8225286,-85.7731503
45.6668806,-88.7733265
32.164369,-83.1678658
39.3460064,-99.3244921
40.1738446,-97.5962626
37.9674757,-86.2008628
40.8555203,-84.5857751
48.7610683,-95.8215042
44.0106386,-95.1831523
38.4804041,-101.8059697
36.751004,-93.4737009
35.1559259,-86.0992032
40.9623985,-87.4021716
35.4768585,-104.8035189
35.1094371,-84.5411124
31.9008189,-97.6376407
39.0520537,-84.1494847
33.4127172,-84.4939407
39.5534554,-91.5247867
44.348767,-103.8049474
27.0836036,-80.3982011
33.5426863,-84.3555727
39.8225286,-85.7731503
30.3250913,-98.9418512
46.67257,-115.6535003
35.8585157,-103.8479245
41.4273317,-78.6539366
44.6801748,-84.6113432
42.638237,-77.1043238
45.6790725,-90.3596497
38.8295203,-77.2732524
44.6037037,-72.6389224
31.8680062,-101.5214944
45.5054439,-92.9038486
36.3836192,-91.8196636
33.4191691,-82.6880123
41.3306216,-94.0151842
40.4726717,-85.3237297
38.6845215,-78.1688241
39.9888628,-94.8035511
39.3399592,-91.1716071
39.3399592,-91.1716071
42.4664387,-124.2109292
36.8592233,-83.2214968
41.4330028,-72.5227802
41.1992736,-103.7031528
46.9376289,-95.7417568
39.3825309,-111.5728826
35.3346302,-81.5571145
41.3306216,-94.0151842
44.6274362,-91.8348898
38.7440956,-77.8215005
37.7810492,-107.6702567
43.9822682,-91.7767076
31.8357735,-101.0549114
39.6223785,-85.4664463
47.8190352,-112.2817249
42.9424607,-86.6549462
41.4023855,-97.9914083
44.4762457,-89.4980699
42.4530063,-76.4734835
46.4632185,-91.8924773
32.2671233,-89.946063
41.3306216,-94.0151842
39.3053399,-102.6030226
41.7068313,-71.2866369
41.3306216,-94.0151842
33.609144,-101.2987099
34.833333,-83.9892568
29.3536614,-99.1110845
44.5892657,-104.5672975
41.7485866,-77.8944358
37.1367011,-82.3492199
35.0322677,-77.3561946
47.5304586,-101.3530871
42.2858922,-111.3275168
37.3610537,-77.05417
46.7091929,-68.6124095
39.0812,-77.6388976
39.1002257,-85.2604937
46.8170312,-102.6620262
43.2749637,-91.382751
43.2124777,-94.213983
33.4191691,-82.6880123
37.2095174,-88.3634261
39.3326037,-82.0458439
41.3306216,-94.0151842
31.3230362,-95.4215995
39.0898068,-82.0283968
36.1324661,-80.2569608
37.2095174,-88.3634261
35.5935612,-85.2059104
38.7121872,-88.0854523
37.1873255,-77.2209931
36.7151802,-90.40313
41.1942448,-101.6444493
40.1389845,-88.1969749
34.833333,-83.9892568
32.7835881,-95.3821664
35.0529339,-96.2511829
37.7082604,-77.0910539
38.6683939,-85.1240238
45.7699352,-96.4748315
36.138697,-84.6392616
33.6153628,-100.7876173
33.7408411,-105.4498055
38.8531833,-77.2990252
43.2216189,-103.5126087
37.9952438,-101.7936887
37.5654822,-79.7975457
36.138697,-84.6392616
41.3216789,-84.4864334
37.2095174,-88.3634261
28.9598019,-96.58908
35.2027228,-87.035319
31.8116153,-82.6368248
38.884722,-77.1756027
44.7896407,-88.7558134
39.7838666,-99.8992352
37.1132678,-84.119395
39.7899166,-101.7273254
39.5795106,-105.245462
28.5143906,-81.3232839
29.8300967,-99.812549
31.3004926,-95.9956219
36.7043803,-95.9061545
37.8145174,-79.4477537
38.3596474,-97.1027707
39.5795106,-105.245462
37.4253479,-76.2688078
